parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_param,sim
v_2,1.121,0.005,0.345,0.476,0.881,1.113,1.347,1.825,5432.665,1,3.433,17
a,0.643,0,0.029,0.587,0.622,0.641,0.662,0.703,6032.87,1,0.675,17
ndt,0.487,0,0.003,0.481,0.485,0.487,0.489,0.493,6253.866,1,0.169,17
v_1,0.535,0.002,0.16,0.231,0.421,0.532,0.644,0.862,5722.427,1,1.181,18
v_2,0.45,0.002,0.154,0.166,0.342,0.443,0.554,0.766,6233.476,1,1.238,18
a,1.473,0.001,0.066,1.351,1.426,1.471,1.516,1.61,5296.995,1,1.495,18
ndt,0.468,0,0.014,0.437,0.459,0.469,0.477,0.491,5182.12,1,0.337,18
v_1,0.218,0.001,0.094,0.061,0.15,0.21,0.279,0.425,6509.551,1,1.61,19
v_2,0.216,0.001,0.099,0.053,0.143,0.206,0.28,0.437,6161.83,1,1.803,19
a,1.832,0.001,0.082,1.677,1.776,1.829,1.885,1.999,5203.258,1,2.704,19
ndt,0.352,0,0.027,0.291,0.334,0.354,0.371,0.398,4911.835,1,0.094,19
v_1,7.917,5.937,8.501,0.924,1.631,4.67,9.85,24.823,2.051,11.437,2.459,20
v_2,3.578,2.4,3.414,0.396,1.348,1.875,5.106,9.79,2.024,11.519,1.286,20
a,0,0,0,0,0,0,0,0,5.664,1.592,0.976,20
ndt,0.501,0,0,0.501,0.501,0.501,0.501,0.501,2.002,0.999,1.288,20
v_1,0.272,0.002,0.16,0.049,0.151,0.244,0.359,0.653,7718.475,1,1.27,21
v_2,0.328,0.002,0.19,0.057,0.185,0.294,0.437,0.788,6534.646,1,1.36,21
a,0.489,0,0.022,0.449,0.474,0.488,0.504,0.535,6108.057,1,0.529,21
ndt,0.493,0,0.002,0.489,0.492,0.493,0.494,0.496,5794.417,1,0.185,21
v_1,1.221,0.008,0.655,0.231,0.729,1.126,1.616,2.703,7000.004,1,0.932,22
v_2,1.434,0.009,0.731,0.318,0.886,1.325,1.899,3.088,6834.342,1,3.107,22
a,0.204,0,0.009,0.188,0.198,0.203,0.209,0.222,5967.77,1,0.155,22
ndt,0.501,0,0,0.5,0.501,0.501,0.501,0.501,5903.964,1,0.491,22
v_1,0.104,0.001,0.061,0.018,0.059,0.094,0.137,0.25,6328.064,1,1.051,23
v_2,0.387,0.002,0.139,0.133,0.287,0.383,0.477,0.673,5418.021,1,1.847,23
a,1.471,0.001,0.065,1.353,1.425,1.469,1.513,1.608,5555.946,1.001,2.002,23
ndt,0.433,0,0.016,0.397,0.423,0.434,0.444,0.461,5419.198,1,0.128,23
v_1,1.767,0.005,0.382,1.022,1.503,1.764,2.025,2.526,5581.44,1,1.864,24
v_2,0.428,0.002,0.203,0.101,0.277,0.406,0.558,0.872,6782.125,1,0.45,24
a,0.766,0,0.034,0.704,0.743,0.765,0.789,0.836,5946.06,1,0.73,24
ndt,0.5,0,0.004,0.492,0.497,0.5,0.502,0.506,5948.746,1,0.501,24
v_1,0.864,0.002,0.172,0.53,0.747,0.863,0.981,1.199,6009.008,1,2.041,25
v_2,0.745,0.002,0.154,0.445,0.64,0.743,0.848,1.053,6248.535,1,1.858,25
a,1.679,0.001,0.083,1.526,1.621,1.677,1.734,1.85,5239.408,1,1.817,25
ndt,0.441,0,0.017,0.403,0.43,0.442,0.453,0.47,5499.622,1,0.198,25
v_1,1.514,0.004,0.324,0.896,1.292,1.507,1.731,2.162,6217.649,1,1.976,26
