context,resp,rt,rt_abs,sim
1,0,-0.514,0.514,2
1,0,-0.518,0.518,2
2,0,-0.51,0.51,2
1,1,0.574,0.574,2
2,0,-0.545,0.545,2
1,0,-0.524,0.524,2
2,0,-0.532,0.532,2
1,0,-0.5640000000000001,0.5640000000000001,2
2,0,-0.515,0.515,2
1,0,-0.52,0.52,2
1,0,-0.5720000000000001,0.5720000000000001,2
2,0,-0.508,0.508,2
2,0,-0.519,0.519,2
2,0,-0.578,0.578,2
2,0,-0.607,0.607,2
1,0,-0.625,0.625,2
2,0,-0.616,0.616,2
2,1,0.549,0.549,2
2,1,0.657,0.657,2
1,1,0.675,0.675,2
1,0,-0.507,0.507,2
2,0,-0.527,0.527,2
1,0,-0.552,0.552,2
2,1,0.613,0.613,2
2,0,-0.679,0.679,2
2,1,0.587,0.587,2
1,0,-0.519,0.519,2
1,0,-0.542,0.542,2
1,0,-0.515,0.515,2
2,0,-0.53,0.53,2
1,0,-0.539,0.539,2
2,0,-0.504,0.504,2
2,0,-0.505,0.505,2
2,0,-0.527,0.527,2
1,1,0.585,0.585,2
1,1,0.619,0.619,2
2,0,-0.786,0.786,2
1,0,-0.52,0.52,2
1,1,0.618,0.618,2
2,1,0.581,0.581,2
2,0,-0.541,0.541,2
2,0,-0.512,0.512,2
1,0,-0.552,0.552,2
2,0,-0.505,0.505,2
1,0,-0.513,0.513,2
2,0,-0.575,0.575,3
1,0,-0.504,0.504,3
1,1,0.992,0.992,3
1,0,-0.525,0.525,3
2,1,0.687,0.687,3
1,0,-0.502,0.502,3
1,0,-0.629,0.629,3
1,0,-0.618,0.618,3
2,1,0.778,0.778,3
1,1,0.715,0.715,3
2,0,-0.555,0.555,3
1,0,-0.518,0.518,3
2,0,-0.504,0.504,3
2,0,-0.574,0.574,3
2,0,-0.515,0.515,3
1,1,1.066,1.066,3
1,0,-0.525,0.525,3
1,0,-0.506,0.506,3
1,0,-0.555,0.555,3
1,0,-0.55,0.55,3
2,0,-0.536,0.536,3
1,1,1.606,1.606,3
1,0,-0.514,0.514,3
1,0,-0.608,0.608,3
2,0,-0.516,0.516,3
2,0,-0.508,0.508,3
1,0,-0.505,0.505,3
2,0,-0.506,0.506,3
1,1,0.853,0.853,3
1,0,-0.512,0.512,3
2,0,-0.515,0.515,3
1,0,-0.551,0.551,3
1,0,-0.516,0.516,3
2,0,-0.504,0.504,3
2,0,-0.508,0.508,3
2,0,-0.537,0.537,3
2,0,-0.9750000000000001,0.9750000000000001,3
1,0,-0.513,0.513,3
2,0,-0.52,0.52,3
1,1,0.698,0.698,3
2,0,-0.508,0.508,3
2,1,0.916,0.916,3
2,0,-0.512,0.512,3
2,0,-0.502,0.502,3
1,0,-0.506,0.506,3
2,0,-0.531,0.531,3
2,0,-0.551,0.551,3
1,1,1.197,1.197,3
1,0,-0.601,0.601,3
1,1,0.914,0.914,3
2,0,-0.507,0.507,3
1,1,0.912,0.912,3
2,1,0.999,0.999,3
1,1,1.451,1.451,3
1,0,-0.545,0.545,3
2,0,-0.505,0.505,3
1,0,-0.522,0.522,3
2,0,-0.509,0.509,3
2,0,-0.516,0.516,3
1,0,-0.502,0.502,3
2,0,-0.513,0.513,3
1,0,-0.513,0.513,3
2,0,-0.546,0.546,3
1,0,-0.523,0.523,3
1,0,-0.517,0.517,3
1,0,-0.512,0.512,3
2,1,0.8440000000000001,0.8440000000000001,3
1,0,-0.51,0.51,3
2,1,0.989,0.989,3
2,0,-0.538,0.538,3
1,0,-0.519,0.519,3
2,0,-0.579,0.579,3
2,1,1.105,1.105,3
2,0,-0.575,0.575,3
1,0,-0.519,0.519,3
2,0,-0.515,0.515,3
2,0,-0.511,0.511,3
1,1,1.135,1.135,3
2,1,1.26,1.26,3
2,0,-0.511,0.511,3
2,1,1.246,1.246,3
1,0,-0.511,0.511,3
2,1,0.787,0.787,3
2,0,-0.6970000000000001,0.6970000000000001,3
1,0,-0.52,0.52,3
2,0,-0.511,0.511,3
2,0,-0.523,0.523,3
2,0,-0.526,0.526,3
2,1,0.67,0.67,3
1,0,-0.508,0.508,3
1,0,-0.548,0.548,3
1,0,-0.581,0.581,3
1,1,1.271,1.271,3
1,0,-0.508,0.508,3
1,1,1.001,1.001,3
2,0,-0.519,0.519,3
1,0,-0.588,0.588,3
2,0,-0.508,0.508,3
2,0,-0.518,0.518,3
2,0,-0.54,0.54,3
2,0,-0.509,0.509,3
1,0,-0.71,0.71,3
1,0,-0.518,0.518,3
1,1,1.066,1.066,3
2,0,-0.538,0.538,3
2,0,-0.563,0.563,3
2,0,-0.611,0.611,3
2,0,-0.509,0.509,3
2,1,0.859,0.859,3
1,1,1.0819999999999999,1.0819999999999999,3
2,0,-0.51,0.51,3
2,0,-0.6,0.6,3
2,1,1.153,1.153,3
1,0,-1.221,1.221,3
2,0,-0.554,0.554,3
1,0,-0.515,0.515,3
1,0,-0.557,0.557,3
2,0,-0.507,0.507,3
1,0,-0.511,0.511,3
2,0,-0.521,0.521,3
1,0,-0.504,0.504,4
1,0,-0.583,0.583,4
1,0,-0.524,0.524,4
2,1,0.607,0.607,4
1,1,0.728,0.728,4
1,0,-0.51,0.51,4
1,0,-0.616,0.616,4
1,0,-0.512,0.512,4
2,0,-0.505,0.505,4
1,0,-0.599,0.599,4
2,1,0.6819999999999999,0.6819999999999999,4
2,1,0.758,0.758,4
1,0,-0.5680000000000001,0.5680000000000001,4
2,1,0.563,0.563,4
2,1,0.594,0.594,4
2,0,-0.507,0.507,4
2,1,0.584,0.584,4
2,1,0.658,0.658,4
1,0,-0.633,0.633,4
2,1,0.6930000000000001,0.6930000000000001,4
1,0,-0.518,0.518,4
2,0,-0.516,0.516,4
1,1,0.688,0.688,4
1,0,-0.539,0.539,4
2,0,-0.574,0.574,4
2,0,-0.681,0.681,4
1,0,-0.515,0.515,4
1,1,0.794,0.794,4
1,0,-0.522,0.522,4
2,1,0.737,0.737,4
2,0,-0.506,0.506,4
2,0,-0.519,0.519,4
1,0,-0.711,0.711,4
1,0,-0.511,0.511,4
1,0,-0.612,0.612,4
1,0,-0.544,0.544,4
2,1,0.609,0.609,4
2,1,0.639,0.639,4
1,1,0.712,0.712,4
2,0,-0.536,0.536,4
1,0,-0.505,0.505,4
2,1,0.639,0.639,4
1,0,-0.52,0.52,4
1,0,-0.517,0.517,4
1,0,-0.618,0.618,4
1,0,-0.622,0.622,4
1,0,-0.537,0.537,4
2,1,0.724,0.724,4
1,0,-0.505,0.505,4
1,0,-0.5700000000000001,0.5700000000000001,4
1,0,-0.539,0.539,4
1,0,-0.531,0.531,4
2,1,0.8340000000000001,0.8340000000000001,4
1,1,0.779,0.779,4
2,1,0.621,0.621,4
2,1,1.401,1.401,4
2,1,0.722,0.722,4
1,1,0.607,0.607,4
2,0,-0.531,0.531,4
2,0,-0.509,0.509,4
2,0,-0.558,0.558,4
2,1,0.648,0.648,4
2,0,-0.523,0.523,4
1,0,-0.517,0.517,4
1,0,-0.52,0.52,4
2,1,0.652,0.652,4
1,1,0.702,0.702,4
1,0,-0.511,0.511,4
2,0,-0.6839999999999999,0.6839999999999999,4
1,0,-0.516,0.516,4
1,0,-0.652,0.652,4
1,1,0.604,0.604,4
1,0,-0.54,0.54,4
1,1,0.737,0.737,4
1,0,-0.527,0.527,4
2,1,0.633,0.633,4
1,0,-0.698,0.698,4
2,1,0.772,0.772,4
2,0,-0.514,0.514,4
1,1,0.673,0.673,4
1,1,0.794,0.794,4
2,1,0.657,0.657,4
1,1,0.792,0.792,4
2,1,0.727,0.727,4
2,0,-0.533,0.533,4
2,1,1.113,1.113,4
1,1,0.609,0.609,4
2,0,-0.605,0.605,4
1,0,-0.634,0.634,4
2,0,-0.586,0.586,4
1,0,-0.516,0.516,4
1,0,-0.523,0.523,4
1,0,-0.582,0.582,4
1,0,-0.632,0.632,4
2,0,-0.736,0.736,4
1,0,-0.513,0.513,4
2,0,-0.677,0.677,4
2,1,1.083,1.083,4
2,0,-0.653,0.653,4
1,0,-0.518,0.518,4
1,0,-0.54,0.54,4
1,1,0.616,0.616,4
1,0,-0.533,0.533,4
2,1,0.637,0.637,4
1,1,0.688,0.688,4
1,1,0.648,0.648,4
2,0,-0.507,0.507,4
2,0,-0.555,0.555,4
1,1,0.587,0.587,4
1,0,-0.511,0.511,4
1,0,-0.515,0.515,4
2,1,0.861,0.861,4
2,0,-0.512,0.512,4
1,0,-0.571,0.571,4
2,0,-0.511,0.511,4
1,0,-0.532,0.532,4
2,0,-0.527,0.527,4
1,0,-0.514,0.514,4
2,1,0.558,0.558,4
1,1,0.902,0.902,4
1,1,0.563,0.563,5
2,1,0.547,0.547,5
2,1,0.612,0.612,5
2,1,0.639,0.639,5
2,1,1.2530000000000001,1.2530000000000001,5
2,1,0.673,0.673,5
1,1,1.0310000000000001,1.0310000000000001,5
2,1,0.817,0.817,5
1,1,1.413,1.413,5
2,1,0.8220000000000001,0.8220000000000001,5
1,1,0.674,0.674,5
2,1,0.7010000000000001,0.7010000000000001,5
1,1,1.137,1.137,5
2,1,0.96,0.96,5
2,1,0.728,0.728,5
2,1,0.559,0.559,5
1,1,1.0350000000000001,1.0350000000000001,5
2,1,0.579,0.579,5
2,1,1.546,1.546,5
2,1,0.933,0.933,5
2,1,0.621,0.621,5
1,1,0.659,0.659,5
2,1,0.8280000000000001,0.8280000000000001,5
2,1,0.549,0.549,5
2,1,0.893,0.893,5
2,1,0.606,0.606,5
1,1,1.113,1.113,5
2,1,0.56,0.56,5
1,1,0.657,0.657,5
2,1,1.295,1.295,5
1,1,0.621,0.621,5
2,1,0.65,0.65,5
2,1,0.757,0.757,5
1,1,0.727,0.727,5
1,0,-0.72,0.72,5
2,1,0.5609999999999999,0.5609999999999999,5
2,1,0.858,0.858,5
1,1,1.076,1.076,5
2,1,0.687,0.687,5
1,1,0.777,0.777,5
1,1,0.637,0.637,5
1,1,1.416,1.416,5
2,1,0.615,0.615,5
1,1,0.576,0.576,5
2,1,0.744,0.744,5
2,1,0.557,0.557,5
1,1,1.733,1.733,5
2,1,0.735,0.735,5
1,1,0.598,0.598,5
1,1,0.915,0.915,5
2,1,0.683,0.683,5
1,1,0.6759999999999999,0.6759999999999999,5
1,1,0.8340000000000001,0.8340000000000001,5
2,1,0.543,0.543,5
1,1,1.661,1.661,5
2,1,0.745,0.745,5
1,1,0.563,0.563,5
1,1,0.653,0.653,5
2,1,0.751,0.751,5
1,1,0.634,0.634,5
2,1,0.9339999999999999,0.9339999999999999,5
2,1,0.531,0.531,5
1,1,0.7010000000000001,0.7010000000000001,5
2,1,0.59,0.59,5
2,0,-0.709,0.709,5
1,1,0.576,0.576,5
2,1,0.588,0.588,5
2,1,0.532,0.532,5
2,1,0.654,0.654,5
1,1,0.6799999999999999,0.6799999999999999,5
2,1,0.735,0.735,5
2,1,0.7889999999999999,0.7889999999999999,5
2,1,0.617,0.617,5
1,1,0.553,0.553,5
1,1,0.767,0.767,5
2,1,0.716,0.716,5
2,1,0.63,0.63,5
2,1,0.727,0.727,5
1,1,0.715,0.715,5
1,1,0.607,0.607,5
2,1,0.562,0.562,5
1,1,0.589,0.589,5
2,1,0.557,0.557,5
1,1,0.592,0.592,5
1,1,2.064,2.064,5
1,1,0.558,0.558,5
2,0,-0.7010000000000001,0.7010000000000001,5
1,1,0.55,0.55,5
1,1,0.52,0.52,5
2,1,1.189,1.189,5
1,1,1.0899999999999999,1.0899999999999999,5
2,1,0.529,0.529,5
1,1,0.74,0.74,5
2,1,0.902,0.902,5
1,1,0.72,0.72,5
1,1,0.725,0.725,5
1,1,0.942,0.942,5
2,1,0.889,0.889,5
2,1,0.8220000000000001,0.8220000000000001,5
2,1,0.653,0.653,5
2,1,1.322,1.322,5
2,1,0.871,0.871,5
2,1,1.079,1.079,5
1,1,1.87,1.87,5
2,1,0.578,0.578,5
1,1,0.579,0.579,5
1,1,0.865,0.865,5
2,1,0.602,0.602,5
2,1,0.626,0.626,5
1,1,0.5640000000000001,0.5640000000000001,5
2,1,0.5720000000000001,0.5720000000000001,5
2,1,0.548,0.548,5
1,1,0.9450000000000001,0.9450000000000001,5
1,1,0.642,0.642,5
1,1,0.558,0.558,5
2,1,0.63,0.63,5
1,1,0.616,0.616,5
1,1,0.825,0.825,5
2,1,2.1500000000000004,2.1500000000000004,5
2,1,1.508,1.508,5
1,1,0.796,0.796,6
2,1,0.8420000000000001,0.8420000000000001,6
1,1,0.8340000000000001,0.8340000000000001,6
2,1,0.958,0.958,6
1,0,-0.628,0.628,6
1,1,1.151,1.151,6
2,1,0.7050000000000001,0.7050000000000001,6
1,1,1.02,1.02,6
1,1,0.916,0.916,6
1,1,0.774,0.774,6
1,1,0.983,0.983,6
2,1,0.738,0.738,6
1,1,0.942,0.942,6
2,1,0.757,0.757,6
1,1,0.9470000000000001,0.9470000000000001,6
1,0,-0.8180000000000001,0.8180000000000001,6
1,1,0.687,0.687,6
1,1,0.997,0.997,6
1,1,1.1280000000000001,1.1280000000000001,6
2,1,1.306,1.306,6
2,1,0.692,0.692,6
2,1,0.8380000000000001,0.8380000000000001,6
2,1,0.6910000000000001,0.6910000000000001,6
2,1,0.876,0.876,6
1,1,1.081,1.081,6
2,1,1.066,1.066,6
1,0,-0.628,0.628,6
1,1,0.7989999999999999,0.7989999999999999,6
1,0,-0.8460000000000001,0.8460000000000001,6
2,1,1.0630000000000002,1.0630000000000002,6
2,1,0.8240000000000001,0.8240000000000001,6
2,1,0.989,0.989,6
2,1,0.938,0.938,6
1,0,-0.721,0.721,6
1,1,1.3599999999999999,1.3599999999999999,6
2,1,0.7929999999999999,0.7929999999999999,6
2,1,0.8360000000000001,0.8360000000000001,6
1,1,1.2690000000000001,1.2690000000000001,6
1,1,1.205,1.205,6
2,1,0.788,0.788,6
1,0,-0.575,0.575,6
2,1,0.802,0.802,6
1,1,1.03,1.03,6
1,1,1.076,1.076,6
1,1,1.1400000000000001,1.1400000000000001,6
1,1,1.054,1.054,6
1,1,1.049,1.049,6
1,1,1.13,1.13,6
1,1,0.869,0.869,6
1,1,1.302,1.302,6
1,0,-0.551,0.551,6
1,1,1.975,1.975,6
2,1,0.993,0.993,6
1,0,-0.859,0.859,6
1,1,1.84,1.84,6
2,1,0.765,0.765,6
1,1,0.983,0.983,6
2,1,0.645,0.645,6
2,1,0.627,0.627,6
2,1,0.7949999999999999,0.7949999999999999,6
2,0,-0.58,0.58,6
2,1,0.745,0.745,6
2,1,0.782,0.782,6
2,1,0.876,0.876,6
1,1,1.036,1.036,6
2,1,0.8400000000000001,0.8400000000000001,6
1,1,1.84,1.84,6
1,1,1.2810000000000001,1.2810000000000001,6
1,0,-0.5660000000000001,0.5660000000000001,6
2,1,0.8400000000000001,0.8400000000000001,6
2,1,1.032,1.032,6
1,1,0.722,0.722,6
2,1,0.6799999999999999,0.6799999999999999,6
1,1,1.538,1.538,6
2,1,0.987,0.987,6
2,1,0.785,0.785,6
2,1,0.825,0.825,6
1,1,1.0230000000000001,1.0230000000000001,6
1,0,-0.658,0.658,6
1,1,0.9770000000000001,0.9770000000000001,6
1,1,2.303,2.303,6
1,1,1.217,1.217,6
1,1,1.124,1.124,6
2,1,0.763,0.763,6
2,1,0.877,0.877,6
2,1,0.784,0.784,6
1,1,0.883,0.883,6
1,0,-1.669,1.669,6
1,1,1.199,1.199,6
2,1,0.706,0.706,6
1,0,-0.602,0.602,6
1,1,1.2469999999999999,1.2469999999999999,6
2,1,0.851,0.851,6
2,1,0.972,0.972,6
1,1,0.914,0.914,6
1,1,1.206,1.206,6
1,1,1.165,1.165,6
2,1,0.666,0.666,6
2,1,0.6910000000000001,0.6910000000000001,6
1,0,-0.8280000000000001,0.8280000000000001,6
1,1,0.8460000000000001,0.8460000000000001,6
1,0,-0.696,0.696,6
2,1,0.994,0.994,6
2,1,0.743,0.743,6
2,1,0.812,0.812,6
1,1,0.808,0.808,6
1,1,0.7070000000000001,0.7070000000000001,6
1,0,-0.67,0.67,6
2,1,0.8320000000000001,0.8320000000000001,6
1,1,1.065,1.065,6
2,1,0.78,0.78,6
1,1,1.032,1.032,6
2,1,0.6950000000000001,0.6950000000000001,6
2,1,0.716,0.716,6
2,1,0.73,0.73,6
2,1,0.685,0.685,6
1,1,0.847,0.847,6
1,1,1.681,1.681,6
2,1,0.9179999999999999,0.9179999999999999,6
1,1,0.843,0.843,6
2,0,-0.6819999999999999,0.6819999999999999,7
2,1,1.3860000000000001,1.3860000000000001,7
1,1,1.0390000000000001,1.0390000000000001,7
2,1,0.742,0.742,7
2,1,1.002,1.002,7
1,1,0.674,0.674,7
1,1,0.609,0.609,7
1,1,0.581,0.581,7
1,1,0.761,0.761,7
1,1,0.596,0.596,7
2,0,-0.626,0.626,7
2,1,0.804,0.804,7
1,1,0.675,0.675,7
2,1,1.306,1.306,7
2,1,0.77,0.77,7
2,1,0.901,0.901,7
2,1,0.62,0.62,7
2,1,0.804,0.804,7
2,1,1,1,7
2,1,0.731,0.731,7
1,1,0.866,0.866,7
2,0,-0.598,0.598,7
1,1,0.708,0.708,7
1,1,0.571,0.571,7
1,0,-0.601,0.601,7
2,1,0.892,0.892,7
1,1,0.623,0.623,7
2,0,-0.621,0.621,7
1,1,0.651,0.651,7
2,1,0.681,0.681,7
1,1,0.664,0.664,7
1,1,0.6779999999999999,0.6779999999999999,7
2,1,1.056,1.056,7
1,0,-0.75,0.75,7
2,1,0.591,0.591,7
1,1,0.7030000000000001,0.7030000000000001,7
2,1,0.6859999999999999,0.6859999999999999,7
2,1,0.78,0.78,7
2,1,0.889,0.889,7
2,0,-0.589,0.589,7
1,1,0.728,0.728,7
1,1,0.787,0.787,7
1,1,1.021,1.021,7
2,1,0.6819999999999999,0.6819999999999999,7
2,1,0.9530000000000001,0.9530000000000001,7
2,1,0.767,0.767,7
2,1,0.72,0.72,7
1,1,0.605,0.605,7
2,1,0.623,0.623,7
1,1,0.879,0.879,7
1,1,0.6759999999999999,0.6759999999999999,7
2,1,1.038,1.038,7
1,1,0.594,0.594,7
2,1,0.698,0.698,7
1,1,0.671,0.671,7
2,1,0.617,0.617,7
1,1,0.575,0.575,7
1,1,0.663,0.663,7
2,1,1.088,1.088,7
2,1,0.888,0.888,7
1,1,0.706,0.706,7
2,1,0.687,0.687,7
2,1,0.8480000000000001,0.8480000000000001,7
2,1,0.74,0.74,7
2,1,0.66,0.66,7
1,1,0.6799999999999999,0.6799999999999999,7
1,1,0.723,0.723,7
1,1,0.893,0.893,7
2,0,-0.565,0.565,7
2,0,-0.557,0.557,7
2,1,0.8500000000000001,0.8500000000000001,7
2,0,-1.046,1.046,7
2,0,-0.906,0.906,7
2,1,0.863,0.863,7
2,0,-0.896,0.896,7
2,1,0.779,0.779,7
2,1,0.899,0.899,7
2,1,0.607,0.607,7
2,0,-0.696,0.696,7
2,1,0.569,0.569,7
2,1,0.657,0.657,7
2,1,0.724,0.724,7
2,1,1.693,1.693,7
1,1,0.611,0.611,7
2,1,0.614,0.614,7
1,1,0.614,0.614,7
1,0,-0.563,0.563,7
2,1,0.711,0.711,7
1,1,0.6799999999999999,0.6799999999999999,7
2,1,1.258,1.258,7
1,1,0.595,0.595,7
2,1,0.6,0.6,7
1,1,0.859,0.859,7
1,1,0.636,0.636,7
1,1,0.857,0.857,7
2,1,1.536,1.536,7
1,1,0.987,0.987,7
2,1,1.512,1.512,7
1,1,0.5640000000000001,0.5640000000000001,7
1,1,0.623,0.623,7
1,1,0.617,0.617,7
2,1,0.673,0.673,7
2,1,0.709,0.709,7
1,1,0.755,0.755,7
2,0,-0.598,0.598,7
1,1,0.785,0.785,7
1,1,1.053,1.053,7
2,1,0.739,0.739,7
2,1,0.739,0.739,7
2,1,0.681,0.681,7
1,1,0.603,0.603,7
2,1,0.742,0.742,7
2,1,0.747,0.747,7
1,1,0.593,0.593,7
2,1,0.663,0.663,7
1,1,1.018,1.018,7
2,1,1.0390000000000001,1.0390000000000001,7
1,0,-0.623,0.623,7
2,0,-0.592,0.592,7
1,1,0.849,0.849,7
2,1,1.041,1.041,8
1,0,-0.5680000000000001,0.5680000000000001,8
2,0,-0.503,0.503,8
2,0,-0.507,0.507,8
1,0,-0.505,0.505,8
1,0,-0.506,0.506,8
2,1,0.9359999999999999,0.9359999999999999,8
1,1,0.698,0.698,8
2,0,-0.512,0.512,8
1,1,0.625,0.625,8
1,0,-0.509,0.509,8
1,0,-0.51,0.51,8
1,1,1.052,1.052,8
1,0,-0.574,0.574,8
2,1,1.209,1.209,8
2,1,0.742,0.742,8
2,0,-0.526,0.526,8
1,0,-0.52,0.52,8
2,0,-0.524,0.524,8
1,0,-0.52,0.52,8
1,0,-0.502,0.502,8
2,1,0.914,0.914,8
2,1,0.909,0.909,8
2,0,-0.511,0.511,8
2,0,-0.51,0.51,8
2,0,-0.508,0.508,8
1,0,-0.512,0.512,8
1,0,-0.556,0.556,8
1,0,-0.506,0.506,8
2,0,-0.549,0.549,8
2,0,-0.52,0.52,8
2,0,-0.532,0.532,8
1,0,-0.505,0.505,8
1,0,-0.603,0.603,8
2,1,0.615,0.615,8
2,0,-0.563,0.563,8
1,0,-0.503,0.503,8
1,0,-0.518,0.518,8
1,0,-0.502,0.502,8
1,1,0.921,0.921,8
1,1,0.835,0.835,8
2,0,-0.513,0.513,8
1,0,-0.504,0.504,8
2,0,-0.526,0.526,8
2,0,-0.518,0.518,8
2,0,-0.629,0.629,8
1,0,-0.534,0.534,8
